policy_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
238,100.3200000000,151793.7321644375,211511.4194332172,7705.0308100269,0.0000000000,-67422.7180788067
239,57.7000000000,6532.6881685800,6761.1434881681,580.0063980016,0.0000000000,-808.4617175897
240,5.7700000000,38485.2808984796,26124.7820472934,34865.9823064830,3447.1794411037,-25952.6628964004
241,110.8600000000,1027529.3574895770,1013455.3033018813,48569.6896904247,0.0000000000,-34495.6355027290
242,26.3500000000,43834.6086963376,40170.1666448270,8396.8250661968,0.0000000000,-4732.3830146862
243,93.0500000000,494777.2189486499,384172.3550482048,28146.4774795652,0.0000000000,82458.3864208799
244,99.8700000000,625553.4272892990,570908.5703247637,32971.3468043890,0.0000000000,21673.5101601464
245,156.9400000000,413976.9591572778,358929.2506427611,14103.9057203880,0.0000000000,40943.8027941288
246,53.4500000000,88138.0409995490,58704.7533777199,13081.7302552493,8490.4935661111,7861.0638004688
247,157.8500000000,222610.0618435373,231978.9205437903,7356.6364889657,0.0000000000,-16725.4951892187
248,10.8700000000,9111.6896794170,7669.6327334552,4309.6507423804,0.0000000000,-2867.5937964186
249,42.7300000000,247958.7060036044,165098.1667560735,51103.5457066545,32758.9349883664,-1001.9414474899
250,45.8200000000,105895.6592196878,95131.2374793627,11698.7162769325,0.0000000000,-934.2945366074
251,27.3800000000,295742.9314106909,292974.4582533351,57086.8382203824,0.0000000000,-54318.3650630266
252,42.7800000000,444708.0119109754,335359.4715071917,55073.6374566546,0.0000000000,54274.9029471292
253,51.9200000000,285472.7730208059,242548.2914607946,28641.9942017154,0.0000000000,14282.4873582959
254,304.3900000000,209449.9890757540,333947.7347685132,3449.0341317004,0.0000000000,-127946.7798244596
255,36.1100000000,107615.4124323705,89601.3066964950,15201.4803891534,0.0000000000,2812.6253467222
256,8.1200000000,21611.1431836006,18627.5728110461,13477.6191565097,0.0000000000,-10494.0487839552
257,10.0800000000,57174.7175516132,38054.3007902180,50160.8952591436,7571.3709534980,-38611.8494512464
258,23.4300000000,44407.1454155871,32766.9836489944,9854.6420560182,0.0000000000,1785.5197105745
259,377.6900000000,832258.2846993812,1135262.9338347916,11234.4572604239,0.0000000000,-314239.1063958343
260,102.9400000000,90804.4243053747,96873.2895193378,4448.8298734683,0.0000000000,-10517.6950874314
261,117.4400000000,196771.5476320251,191977.5690778334,8821.4041523752,0.0000000000,-4027.4255981835
262,68.0400000000,40190.0660265757,48971.9611840176,2968.0844498711,0.0000000000,-11749.9796073130
263,18.9300000000,120503.7930513963,80271.9012912147,55760.0348014906,15873.2179757668,-31401.3610170758
264,259.4000000000,262587.8326093687,263762.5925671299,5130.2459698835,0.0000000000,-6305.0059276446
265,365.6700000000,40047.2102980810,51962.0313601381,548.4940025890,0.0000000000,-12463.3150646461
266,82.0800000000,3898.4402389832,4648.7161645759,238.5600335111,0.0000000000,-988.8359591038
267,18.4900000000,11100.3440511951,9494.8012025123,3038.8889868941,0.0000000000,-1433.3461382114
268,31.7800000000,172402.6119309193,114709.2350677638,43594.2007056750,16717.4534354363,-2618.2772779557
269,33.6100000000,211370.3793159781,164526.1180381241,32496.6344925116,0.0000000000,14347.6267853424
270,102.6500000000,40897.0444652070,58160.4060645702,1995.3637056345,0.0000000000,-19258.7253049977
