policy_id,scr_life,life_mort,life_longev,life_lapse,life_exps,lapse_up,lapse_down,lapse_mass,nav_base
197,39879.78015640095,18276.507871403766,0,34125.09982791197,2027.8482994668884,21597.64381140814,0,34125.09982791197,59793.4105463727
198,28265.607960937265,9888.086056195083,0,25129.864257922745,2161.0184696284123,16283.870672531018,0,25129.864257922745,40637.04145905719
199,41708.615721090995,19544.087159103365,0,35533.9087583377,2007.436239446164,22293.318811517616,0,35533.9087583377,62640.01865425997
200,29511.59202464598,10671.704930423759,0,26171.51573129749,2142.659234984312,16871.93631059656,0,26171.51573129749,42573.77521429479
201,1200905.4453668254,1896.3906468506902,0,1198736.9982539923,4318.840538631193,475141.2339964835,0,1198736.9982539923,2936242.7018313278
202,1202747.490427032,980.9400477553718,0,1200579.0799892393,4322.6066707386635,476013.0890400633,0,1200579.0799892393,2940873.4132044693
203,1200669.9391251986,2012.7094311858527,0,1198501.4252516648,4318.3854436385445,475022.6444912874,0,1198501.4252516648,2935650.571913327
204,1202602.2992139652,1053.0039408346638,0,1200433.9080197052,4322.316762962379,475941.90650201915,0,1200433.9080197052,2940508.4904602272
205,1200416.4634767126,2137.9820516263135,0,1198247.86256389,4317.900146718137,474890.77319540735,0,1198247.86256389,2935013.209229894
206,1202446.8589908718,1130.0874175075442,0,1200278.481927984,4322.009936683346,475864.28150664736,0,1200278.481927984,2940117.797563656
207,1200147.9295498393,2270.7690485497005,0,1197979.2170584353,4317.395514897071,474743.0919413166,0,1197979.2170584353,2934337.9181429455
208,1202276.4154620664,1214.4709819150157,0,1200108.045724197,4321.678916825447,475777.5311662364,0,1200108.045724197,2939689.3876410522
209,1199837.0575580867,2424.515157672111,0,1197668.1981059983,4316.809729152359,474571.76680241525,0,1197668.1981059983,2933556.104109369
